"","ID","sex","class","motor","transport","timetravel","walkdist","streetpark","convenience","shuttle","wait4shuttle","pay4shuttle","pay4shuttle_num","wait4shuttle_num"
"63",499,"Female","Staff","yes","Auto",58,"1/2 - 1 mile","sometimes","poor","Maybe","8","will not ride",NA,8
"64",500,"Female","Staff","yes","Auto",41,"1/4 - 1/2 mile","never","good","Yes","4","$1 ",1,4
"65",513,"Male","Staff","yes","Bus",56,"1+ miles","never","good","Yes","9","$0.50 ",0.5,9
"66",533,"Male","Faculty","yes","Bicycle",61,"1/2 - 1 mile","never","fair","Maybe","22","$0.50 ",0.5,22
"67",536,"Female","Staff","yes","Auto",58,"1+ miles","never","good","Maybe","14","$1 ",1,14
"68",537,"Male","Faculty","yes","Auto",49,"1/2 - 1 mile","never","fair","Yes","9","$1 ",1,9
"69",543,"Male","Staff","yes","Auto",52,"1/2 - 1 mile","never","fair","Maybe","9","$0 ",0,9
"70",548,"Female","Staff","yes","Auto",45,"1/4 - 1/2 mile","never","fair","Yes","8","$0.50 ",0.5,8
"71",551,"Male","Staff","yes","Auto",61,"1+ miles","sometimes","very good","Maybe","10","$1 ",1,10
"72",557,"Male","Staff","yes","Auto",60,"1/2 - 1 mile","never","poor","Maybe","15","$1 ",1,15
"73",558,"Female","Staff","yes","Auto",50,"1/4 - 1/2 mile","never","good","Yes","10","$0 ",0,10
"74",569,"Female","Staff","yes","Auto",41,"1/4 - 1/2 mile","never","fair","Yes","10","$0 ",0,10
"75",571,"Female","Faculty","yes","Bicycle",61,"1/2 - 1 mile","always","good","Yes","7","$1 ",1,7
"76",578,"Female","Staff","yes","Bus",51,"1/4 - 1/2 mile","never","very good","No","will not ride","will not ride",NA,NA
"77",581,"Male","Faculty","yes","Auto",61,"1/2 - 1 mile","never","good","Yes","15","$1 ",1,15
"78",596,"Female","Staff","yes","Auto",59,"<1/4 mile","sometimes","fair","Yes","1","$0 ",0,1
"79",597,"Female","Staff","yes","Auto",61,"<1/4 mile","never","fair","Yes","10","$1 ",1,10
"80",609,"Female","Staff","yes","Motorcycle",57,"1/4 - 1/2 mile","sometimes","fair","Yes","13","$0.50 ",0.5,13
"81",638,"Male","Staff","yes","Auto",45,"1/2 - 1 mile","sometimes","poor","Yes","3","$0.50 ",0.5,3
"82",682,"Female","Faculty","yes","Auto",48,"1/2 - 1 mile","always","fair","Maybe","9","$1 ",1,9
"83",683,"Male","Staff","yes","Auto",41,"1+ miles","never","good","Maybe","8","$0.50 ",0.5,8
"84",686,"Female","Staff","yes","Auto",60,"1/4 - 1/2 mile","never","fair","Maybe","6","$1 ",1,6
"85",727,"Female","Faculty","yes","Walk",41,"1/2 - 1 mile","always","fair","Yes","13","$1 ",1,13
"86",749,"Male","Staff","yes","Auto",51,"1/2 - 1 mile","always","very poor","Yes","11","$0 ",0,11
"87",762,"Male","Staff","yes","Auto",51,"<1/4 mile","never","very good","Yes","6","$0.50 ",0.5,6
"88",763,"Female","Faculty","yes","Auto",55,"<1/4 mile","sometimes","poor","Maybe","6","$0.50 ",0.5,6
"89",795,"Female","Faculty","yes","Walk",57,"1/2 - 1 mile","sometimes","fair","Yes","2","$0.50 ",0.5,2
"90",805,"Male","Faculty","yes","Motorcycle",43,"<1/4 mile","always","poor","Yes","15","$0 ",0,15
"91",959,"Female","Faculty","no","Auto",58,"<1/4 mile","sometimes","fair","Yes","9","$0.50 ",0.5,9
"92",963,"Male","Faculty","yes","Auto",56,"<1/4 mile","never","very good","Yes","4","$0 ",0,4
"93",970,"Female","Faculty","yes","Auto",57,"<1/4 mile","always","good","Yes","6","$0.50 ",0.5,6
"94",1020,"Male","Staff","yes","Auto",45,"1/2 - 1 mile","always","very good","Yes","will not ride","$0 ",0,NA
